temperature,eDensity,gofnt
501187.2336272725,1000000000.0,6.682462997597539e-27
525300.922235397,1000000000.0,1.0993761114031035e-26
550574.7959784886,1000000000.0,1.7500739871600952e-26
577064.6749995912,1000000000.0,2.69942176575359e-26
604829.0651237764,1000000000.0,4.039007233223484e-26
633929.2870747296,1000000000.0,5.867444977037034e-26
664429.61190834,1000000000.0,8.281382964413695e-26
696397.4029624328,1000000000.0,1.1359176404576925e-25
729903.2646361388,1000000000.0,1.5143753640991479e-25
765021.19832752,1000000000.0,1.9614379435751396e-25
801828.7658738301,1000000000.0,2.4661402559153854e-25
840407.2608554034,1000000000.0,3.0067489990182975e-25
880841.8881415128,1000000000.0,3.54897376786222e-25
923221.9520747317,1000000000.0,4.048425869682912e-25
967641.0537094537,1000000000.0,4.45519796609136e-25
1014197.2975401576,1000000000.0,4.721158428547019e-25
1062993.5081760285,1000000000.0,4.809763648099548e-25
1114137.4574404613,1000000000.0,4.704781892921559e-25
1167742.1023970542,1000000000.0,4.413578329204649e-25
1223925.834827758,1000000000.0,3.968123047106685e-25
1282812.7427142137,1000000000.0,3.417507149952848e-25
1344532.8842997623,1000000000.0,2.817485379089935e-25
1409222.5753374626,1000000000.0,2.221386045141067e-25
1477024.690158485,1000000000.0,1.6731842251359589e-25
1548088.9772258627,1000000000.0,1.2023895078687108e-25
1622572.3898705235,1000000000.0,8.23178084146272e-26
1700639.4329400521,1000000000.0,5.354754711141833e-26
1782462.5261258448,1000000000.0,3.296985039014404e-26
1868222.3847710367,1000000000.0,1.9150750483908306e-26
1958108.4190003115,1000000000.0,1.0480009500920548e-26
2052319.1520530963,1000000000.0,5.400123596949751e-27
2151062.6587440567,1000000000.0,2.6330906243851178e-27
2254557.0250193435,1000000000.0,1.2261560185001705e-27
2363030.8296234924,1000000000.0,5.506880068184885e-28
2476723.6489408244,1000000000.0,2.4119435968758844e-28
2595886.586126396,1000000000.0,1.0416204500300207e-28
2720782.8256950434,1000000000.0,4.47058773739192e-29
2851688.2147934726,1000000000.0,1.9185142562250552e-29
2988891.8724391717,1000000000.0,8.271856694106927e-30
3132696.828071686,1000000000.0,3.592049312044488e-30
